id;initial;pref1;pref2;textP1;textP2;pref;textenP1;textenP2;valueP11;valueP12;nextSt1;nextSt2;valueP21;valueP22;refMBTIQ
16;DP12;j;p;Pensas em usar a defesa que tens, pois sabes que aumentar o teu contingˆnte pode ter um gasto imenso para o teu pa¡s e a popula‡„o ser  afetada.;Acreditas que deves mandar construir armas e treinar novos militares.;jp;You use the defenses you have because increasing your army's size will bring<ANIMATE(Sadness1)> huge expenses that will affect your population;You decide to build more <ANIMATE(Anger1)>weapons and train more troops;0,73;0,23;14;14;0,27;0,77;7
18;DG6;l;r;Lan‡as afiadas.;Pedras grandes.;-0;Sharp spears;Large stones;1,00;0,00;43;43;0,00;1,00;0
24;DP18;s;n;enviar um grupo de soldados para defender o port„o.;acreditas que n„o d  tempo para proteger o port„o. Por isso, pensas em mandas fazer armadilhas.;sn;<ANIMATE(Fear2)>Send a group of soldiers to defend the gate;You believe there is no time to defend the gate so you decide to <ANIMATE(Wink)>make traps;0,83;0,27;20;20;0,17;0,73;58
25;DG8;l;r;Ela est  do lado certo.;Ela est  do lado errado.;-0;It's on the right side;It's on the wrong side;1,00;0,00;22;22;0,00;1,00;0
32;DP25;s;n;achas muito improv vel que o inimigo tenha perdido tanta for‡a em apenas um ataque.;acreditas no teu mensageiro e sabes que agora o inimigo est  mais fraco.;sn;You believe it's <ANIMATE(Sadness1)>unlikely that the enemy has lost much strength from just one attack;<ANIMATE(Joy1)>You believe in your messenger and you know your enemy has weakened.;0,90;0,30;23;23;0,10;0,69;2
33;DP26;j;p;aproveitas esta tr‚gua para planejar uma nova ofensiva.;acreditas que este ‚ o momento que estavas esperando para acabar com o inimigo.;jp;Use the truce to plan your next offensive;This is the moment you were <ANIMATE(Wink)>waiting for to finish the enemy;0,60;0,21;24;64;0,40;0,79;62
34;DG9;l;r;Aceita a bebida.;Recusa a Bebida;-0;Accept the drink;Refuse the drink;1,00;0,00;25;25;0,00;1,00;0
35;DP27;j;p;Contrariando alguns conselheiros, envias um espi„o para verificar se ‚ um aliado.;Acreditas que s„o aliados e manda as suas tropas recebe-los.;jp;Contrary to your council's advice you send a spy to verify they are allies;You believe they are allies and send troops to welcome them;0,73;0,23;26;45;0,27;0,77;7
36;DP28;s;n;Envias metade do teu ex‚rcito para ajudar os aliados.;Envias todo o teu ex‚rcito para ajudar os aliados.;sn;Send the half<ANIMATE(Anger3)> of our army to help our allies;<ANIMATE(Anger1)>Send the entire army to help the allies;0,81;0,31;27;46;0,18;0,69;44
37;DP29;e;i;imediatamente vai no acampamento aliado convida-los para o banquete da vit¢ria.;escreves um convite e mandas um mensageiro entregar ao lider aliado para o banquete da vit¢ria.;ei;<ANIMATE(Surprise1)>Immediately go to the allied camp inviting them for a feast<ANIMATE(Joy3)>;Write an invitation for a feast and ask a messenger to deliver it to your allies;0,71;0,33;47;47;0,29;0,66;22
38;DP30;e;i;Chamas o l¡der inimigo para tratar dos termos de rendi‡„o.;Aguardas o l¡der inimigo fazer o primeiro contato.;ei;Call the enemy's <ANIMATE(Disgust1)>leader to negotiate a surrender;Wait for the enemy's leader to make the first contact;0,94;0,26;28;28;0,07;0,74;29
39;DP31;f;t;Recusas o convite e envias um mensageiro com um convite para que o outro l¡der venha te visitar.;Agradeces o convite, por‚m, envias um mensageiro com um convite para que o outro l¡der venha te visitar.;ft;Refuse <ANIMATE(Disgust3)>the invitation and send back the messenger to invite his leader to your country instead;You thank the invitation, however you send a messenger to inform the enemy's leader to come visit you instead<ANIMATE(Wink)>;0,39;0,85;6;6;0,61;0,15;33
40;DG10;l;r;A amea‡a ‚ verdadeira.;A amea‡a pode ser verdadeira.;-0;The threat is real;The threat might be real;1,00;0,00;30;30;0,00;1,00;0
41;DG11;l;r;Contas uma piada.;Perguntas sobre a familia.;-0;Tell a joke;Ask about his family;1,00;0,00;33;33;0,00;1,00;0
44;DG14;l;r;Estende a m„o.;Diz um at‚ mais.;-0;Reach out for a handshake;Say Farewell.;1,00;0,00;12;12;0,00;1,00;0
49;DG19;l;r;Aceita a bebida.;Recusa a Bebida;-0;Accept the drink;Refuse the drink;1,00;0,00;50;50;0,00;1,00;0
